Pot #,Species ID,CO2 level,Water,Aboveground Biomass (g),Belowground Biomass (g),Reproductive Biomass (g),# flowers,# fruits,# transplanted w/leaf,# transplanted w/radicle,Comment
118,POMO,Ambient,Low,0.312,0.6596,,,,0,0,
121,POMO,Ambient,Low,0.9423,0.693,0.2402,3,,2,0,
147,POMO,Ambient,Low,1.1565,1.4495,0.0788,2,,0,0,
14,POMO,High,Fluct,0.4169,1.375,,,,10,0,
17,POMO,High,Fluct,0.3462,1.0989,,,,10,0,
49,POMO,High,Fluct,0.2986,0.9181,,,,10,0,
69,POMO,High,Fluct,0.3101,0.4652,,,,10,0,
72,POMO,High,Fluct,0.2835,0.7774,,,,11,0,
128,POMO,High,Fluct,0.2207,1.0981,,,,13,0,
11,POMO,High,High,0.2969,0.7388,,,,11,0,
57,POMO,High,High,0.4125,1.1482,,,,10,0,
98,POMO,High,High,0.4134,1.4691,,,,10,0,
112,POMO,High,High,0.3722,0.9456,,,,13,0,
138,POMO,High,High,0.4711,0.9831,,,,10,0,
159,POMO,High,High,0.3365,0.9441,,,,9,0,
20,POMO,High,Low,0.7234,0.7443,,,,1,0,
35,POMO,High,Low,0.6178,0.7734,,,,9,0,
66,POMO,High,Low,0.4056,0.6828,,,,0,0,Germinated after removal from GC
71,POMO,High,Low,0.287,0.6315,,,,1,0,
88,POMO,High,Low,1.8492,1.7957,,,,1,0,Germinated after removal from GC
137,POMO,High,Low,0.5945,0.8944,,,,8,0,
25,SIIR,Ambient,Fluct,,,,,,0,0,dead - no plant
60,SIIR,Ambient,Fluct,,,,,,0,0,dead - no plant
74,SIIR,Ambient,Fluct,0.0082,0.0124,,,,1,1,
90,SIIR,Ambient,Fluct,,,,,,0,0,dead - no plant
153,SIIR,Ambient,Fluct,,,,,,0,0,dead - no plant
170,SIIR,Ambient,Fluct,,,,,,0,0,dead - no plant
40,SIIR,Ambient,High,,,,,,0,0,dead - no plant
56,SIIR,Ambient,High,,,,,,1,0,dead - no plant
89,SIIR,Ambient,High,,,,,,0,0,dead - no plant
152,SIIR,Ambient,High,,,,,,0,0,dead - no plant
171,SIIR,Ambient,High,,,,,,1,0,dead - no plant
174,SIIR,Ambient,High,0.0053,0.0069,,,,0,0,
26,SIIR,Ambient,Low,,,,,,0,0,dead - no plant
64,SIIR,Ambient,Low,,,,,,0,0,dead - no plant
73,SIIR,Ambient,Low,,,,,,0,0,dead - no plant
75,SIIR,Ambient,Low,,,,,,0,0,Germinated after removal from GC dead - no plant
158,SIIR,Ambient,Low,,,,,,0,0,dead - no plant
163,SIIR,Ambient,Low,,,,,,0,0,Germinated after removal from GC dead - no plant
8,SIIR,High,Fluct,,,,,,0,0,dead - no plant
29,SIIR,High,Fluct,,,,,,0,0,dead - no plant
44,SIIR,High,Fluct,,,,,,0,2,dead - no plant
83,SIIR,High,Fluct,,,,,,1,0,dead - no plant
103,SIIR,High,Fluct,,,,,,1,0,wrong species transplanted - MIGU?
155,SIIR,High,Fluct,,,,,,0,0,dead - no plant
51,SIIR,High,High,,,,,,0,0,dead - no plant
78,SIIR,High,High,,,,,,0,0,dead - no plant
82,SIIR,High,High,,,,,,0,0,dead - no plant
93,SIIR,High,High,,,,,,3,0,dead - no plant
149,SIIR,High,High,,,,,,0,0,dead - no plant
179,SIIR,High,High,,,,,,1,0,wrong species transplanted - MIGU?
6,SIIR,High,Low,,,,,,0,0,dead - no plant
27,SIIR,High,Low,,,,,,1,0,dead - no plant
76,SIIR,High,Low,,,,,,0,0,dead - no plant
102,SIIR,High,Low,,,,,,0,0,dead - no plant
107,SIIR,High,Low,,,,,,0,0,dead - no plant
146,SIIR,High,Low,,,,,,0,0,dead - no plant
28,VEAN,Ambient,Fluct,0.1341,0.1445,,,,10,0,
43,VEAN,Ambient,Fluct,0.1449,0.201,,,,10,0,1 larger seedling
54,VEAN,Ambient,Fluct,0.2715,0.2243,,,,10,0,
55,VEAN,Ambient,Fluct,0.0773,0.1087,,,,11,0,1 larger seedling
119,VEAN,Ambient,Fluct,0.2261,0.3168,,,,11,0,
134,VEAN,Ambient,Fluct,0.2903,0.4589,,,,10,0,
50,VEAN,Ambient,High,0.0817,0.1499,,,,10,0,
101,VEAN,Ambient,High,0.2969,1.0532,,,,10,0,
127,VEAN,Ambient,High,0.3326,0.5982,,,,10,0,
143,VEAN,Ambient,High,0.1486,0.218,,,,11,0,
175,VEAN,Ambient,High,0.4062,0.5527,,,,10,0,
180,VEAN,Ambient,High,0.0979,0.1606,,,,10,0,
18,VEAN,Ambient,Low,,,,,,0,0,dead - no plant
47,VEAN,Ambient,Low,0.6448,1.3424,,,,0,0,
94,VEAN,Ambient,Low,0.309,0.272,,,,0,0,Germinated after removal from GC
95,VEAN,Ambient,Low,0.3019,0.4299,,,,1,0,
109,VEAN,Ambient,Low,0.3687,0.5708,,,,4,0,
166,VEAN,Ambient,Low,,,,,,0,0,
10,VEAN,High,Fluct,0.2104,0.1523,,,,10,0,
85,VEAN,High,Fluct,0.2535,0.2936,,,,10,0,
115,VEAN,High,Fluct,0.1682,0.2388,,,,7,0,
122,VEAN,High,Fluct,0.4295,0.4657,,,,10,0,
150,VEAN,High,Fluct,0.2006,0.1871,,,,10,0,
151,VEAN,High,Fluct,0.2281,0.3202,,,,9,0,
13,VEAN,High,High,0.2908,0.4317,,,,11,0,
100,VEAN,High,High,0.2451,0.3215,,,,10,0,
136,VEAN,High,High,0.154,0.2407,,,,10,0,
157,VEAN,High,High,0.3722,0.4842,,,,12,0,
161,VEAN,High,High,0.2619,0.4241,,,,10,0,
176,VEAN,High,High,0.1108,0.0991,,,,10,0,
4,VEAN,High,Low,0.0853,0.2099,,,,10,0,
16,VEAN,High,Low,0.2033,0.3516,,,,0,0,
61,VEAN,High,Low,0.3625,0.2463,,,,0,0,
86,VEAN,High,Low,0.2526,0.2667,,,,0,0,Germinated after removal from GC
106,VEAN,High,Low,0.3923,0.5587,,,,10,0,
116,VEAN,High,Low,0.1091,0.1217,,,,0,0,
