,pot,species,co2_lvl,water_lvl,ag_biomass,bg_biomass,rep_biomass,flowers_num,fruit_num,transplanted_w_leaf,transplanted_w_radicle,total_cnt,ag_biomass_m,total_biomass,log_total_biomass,water_low,water_fluct,water_high,treatment
52,120,NAOF,0,Low,0.6867,0.1897,0.1325,40.0,21.0,1,0,1,0.6867,0.8764,-0.13193267126082564,1,0,0,CO2Amb_WL
53,123,NAOF,0,Low,0.3212,0.0959,0.1477,15.0,17.0,1,2,3,0.10706666666666666,0.41709999999999997,-0.8744292777792375,1,0,0,CO2Amb_WL
54,1,NAOF,1,Fluct,0.1667,0.1001,0.0564,5.0,11.0,3,7,10,0.016669999999999997,0.2668,-1.3212559649406685,0,1,0,CO2High_WA
55,7,NAOF,1,Fluct,0.1071,0.1497,0.0401,4.0,6.0,10,0,10,0.01071,0.25680000000000003,-1.3594577071663307,0,1,0,CO2High_WA
56,37,NAOF,1,Fluct,0.1481,0.2796,0.0353,13.0,2.0,3,7,10,0.01481,0.4277,-0.8493332637492741,0,1,0,CO2High_WA
57,62,NAOF,1,Fluct,0.1323,0.1195,0.0638,4.0,10.0,7,0,7,0.0189,0.2518,-1.37912015737189,0,1,0,CO2High_WA
58,117,NAOF,1,Fluct,0.076,0.0886,0.047,5.0,7.0,2,6,8,0.0095,0.1646,-1.8042369907391675,0,1,0,CO2High_WA
59,125,NAOF,1,Fluct,0.1503,0.1521,0.1115,16.0,14.0,3,6,9,0.0167,0.3024,-1.1960046346767592,0,1,0,CO2High_WA
60,45,NAOF,1,High,0.2227,0.0944,0.0435,15.0,7.0,5,5,10,0.02227,0.3171,-1.1485380974378354,0,0,1,CO2High_WH
61,84,NAOF,1,High,0.0989,0.0394,0.0202,7.0,5.0,4,6,10,0.00989,0.1383,-1.9783300403114246,0,0,1,CO2High_WH
62,99,NAOF,1,High,0.1,0.0378,0.0252,9.0,,7,3,10,0.01,0.1378,-1.9819519204025788,0,0,1,CO2High_WH
63,135,NAOF,1,High,0.1576,0.0786,0.0483,11.0,9.0,9,2,11,0.014327272727272727,0.2362,-1.443076375218875,0,0,1,CO2High_WH
64,142,NAOF,1,High,0.0531,0.2263,0.0177,3.0,4.0,10,0,10,0.0053100000000000005,0.2794,-1.2751108321592757,0,0,1,CO2High_WH
