Number,Species,Chamber,Shelf,Water,Rep #,Shoot (g),Root (g),Diam (mm),Stem Len (cm),Root L (cm),Shoot2 (g),Root2 (g)
92,SAGO,2,B,L,5,0.4185,0.2041,1.79,,,0.5172,0.3114
93,SAGO,2,TL,A,5,NO PLANT,,,,,,
94,SAGO,2,TR,A,6,0.2665,0.3325,1.7,,,,
95,SAGO,2,TR,H,6,0.563,0.6367,1.82,,,,
96,SAGO,4,B,H,1,0.9855,1.1488,2.74,,,,
97,SAGO,3,B,L,2,0.3672,0.2076,1.33,,,0.5592,0.2969
98,SAGO,3,B,A,2,0.868,0.4937,1.68,,,,
99,SAGO,3,TR,H,2,2.0047,1.1045,2.69,,,,
100,SAGO,3,TR,L,4,0.4083,0.3211,1.18,,,,
101,SAGO,3,TL,A,4,0.858,0.4194,1.66,,,,
102,SAGO,3,B,H,4,1.2551,1.174,2.54,,,,
103,SAGO,3,TL,L,6,0.3082,0.3122,1.78,,,,
104,SAGO,3,TR,A,6,0.2617,0.1766,1.08,,,,
105,SAGO,3,TL,H,6,0.6988,0.385,1.28,,,,
106,SAGO,4,TR,L,1,1.5127,0.6192,2.48,,,,
107,SAGO,4,TR,A,1,1.3829,1.0325,2.7,,,,
108,SAGO,4,B,L,3,1.547,0.7203,2.39,,,,
109,SAGO,4,B,A,3,0.7847,0.4225,2.22,,,,
110,SAGO,4,TL,H,3,1.7865,1.5414,2.33,,,,
111,SAGO,4,TL,L,5,1.5403,1.3232,2.76,,,,
112,SAGO,4,TL,A,5,0.8071,0.5366,1.89,,,,
113,SAGO,4,TR,H,5,2.4675,1.791,3.38,,,,
114,TACH,1,TL,L,1,0.1323,0.0952,0.86,,,,
115,TACH,1,TR,H,2,0.3071,0.2681,1.06,,,,
116,TACH,1,TL,A,3,0.4379,0.2344,0.96,,,,
117,TACH,1,TR,L,4,0.4607,0.1925,1.02,,,,
118,TACH,1,B,A,4,0.3616,0.1037,1.08,,,,
119,TACH,1,B,H,4,0.5338,0.154,1.06,,,,
120,TACH,1,B,L,5,0.2255,0.1866,0.96,,,,
121,TACH,1,TL,H,5,0.2575,0.0857,0.77,,,,
122,TACH,1,TR,A,6,0.6318,0.1275,1.36,,,,
123,TACH,2,TR,A,1,0.2805,0.0328,0.96,,,,
124,TACH,2,B,H,1,0.1077,0.0581,0.85,,,,
125,TACH,2,TL,L,2,0.0346,0.106,0.49,,,,
126,TACH,2,TL,A,2,0.1223,0.0527,0.8,,,,
127,TACH,2,B,L,3,0.5423,0.1397,1.46,,,,
128,TACH,2,TL,H,3,0.1005,0.0225,0.73,,,,
129,TACH,2,B,A,5,0.229,0.0722,0.96,,,,
130,TACH,2,TR,L,6,0.1777,0.1981,0.85,,,,
131,TACH,2,TR,H,6,0.1165,0.0465,0.81,,,,
132,TACH,3,TR,L,1,0.5332,1.707,1.26,,,,
133,TACH,3,B,A,1,0.688,0.118,1.36,,,,
134,TACH,3,TR,H,3,0.5699,0.4165,1.44,,,,
135,TACH,3,TR,A,2,0.5161,0.2005,1.41,,,,
136,TACH,3,B,H,2,0.3017,0.0842,0.95,,,,
137,TACH,3,TL,L,3,0.6617,0.1583,1.2,,,,
138,TACH,4,TR,H,1,0.245,0.198,0.69,,,,
139,TACH,3,TL,H,4,0.1473,0.0436,0.91,,,,
140,TACH,3,TL,A,5,0.2599,0.089,1.1,,,,
141,TACH,3,B,L,6,0.2795,0.1305,0.84,,,,
142,TACH,4,TR,L,2,0.5789,0.1394,1.34,,,,
143,TACH,4,TR,A,3,0.2234,0.04,0.92,,,,
144,TACH,4,TL,L,4,0.9058,0.0617,0.94,,,,
145,TACH,4,TL,A,4,0.6828,0.1101,1.33,,,,
146,TACH,4,B,L,5,0.097,0.0179,0.69,,,,
147,TACH,4,B,H,5,0.2965,0.0401,1.08,,,,
148,TACH,4,B,A,6,0.3662,0.0627,1.27,,,,
149,TACH,4,TL,H,6,0.3134,0.1121,1.1,,,,
