"","Name","Model","AIC","AIC_wt","AICc","AICc_wt","BIC","BIC_wt","R2","R2_adjusted","RMSE","Sigma","species"
"1","null_model","lm",10.3135038048323,0.756449702517694,10.8135038048323,0.978765834967419,12.905177536841,0.98754259896673,0,0,0.27198134595706,0.277162408568623,"MIGU"
"2","model","lm",12.5801289293033,0.243550297482307,18.4748657714085,0.0212341650325811,21.6509869913336,0.0124574010332702,0.249053818087217,0.0702571081079825,0.235691285652993,0.267248797724102,"MIGU"
"3","null_model","lm",-10.8670926288109,0.010642127460995,-10.4799958546173,0.0709664291027135,-7.81437157957853,0.328200684437901,0,0,0.194451549781647,0.197375797326923,"NAOF"
"4","model","lm",-19.9315640404567,0.989357872539005,-15.6238717327644,0.929033570897287,-9.24704036814361,0.671799315562099,0.429201914472487,0.327273684914002,0.146910441107469,0.161887421422739,"NAOF"
"5","null_model","lm",-23.6952474834805,0.895575495714965,-23.3316111198442,0.981424908338827,-20.5282096065683,0.997779499096482,0,0,0.164705747067216,0.167042115494516,"POMO"
"6","model","lm",-19.3972431628362,0.104424504285035,-15.3972431628362,0.0185750916611726,-8.31261059364343,0.0022205009035182,0.146482103729656,0.0042291210179316,0.152165104672699,0.166688520588744,"POMO"
"7","null_model","lm",2.85409815412567,0.792080360634953,3.24119492831922,0.964353568741541,5.90681920335799,0.994253564432339,0,0,0.237927319800428,0.241505375010899,"VEAN"
"8","model","lm",5.52912054667087,0.207919639365047,9.83681285436317,0.0356464312584595,16.213644218984,0.0057464355676613,0.193813777491388,0.0498519520434214,0.213629880890352,0.235408663233724,"VEAN"
