,num,species,chamber,shelf,water_lvl,rep,ag_biomass,bg_biomass,diam,stem_len,root_len,ag2,bg2,total_biomass,log_total_biomass,co2_lvl,co2_cat,water_low,water_fluct,water_high,treatment
62,63,POFR,3,2,Fluct,4,2.4952,1.5055,3.86,,,,,4.0007,1.3864693458091768,1,High,0,1,0,CO2High_WA
66,67,POFR,3,1,Fluct,6,0.9154,0.4635,2.93,,,,,1.3789,0.32128607986555846,1,High,0,1,0,CO2High_WA
69,70,POFR,4,1,Fluct,1,1.6108,1.1537,3.35,,,,,2.7645,1.0168597867958507,1,High,0,1,0,CO2High_WA
72,73,POFR,4,3,Fluct,3,1.9134,1.396,3.66,,,,,3.3094,1.1967669040756068,1,High,0,1,0,CO2High_WA
75,76,POFR,4,2,Fluct,5,2.1142,1.542,4.18,,,,,3.6562,1.2964243566908478,1,High,0,1,0,CO2High_WA
43,44,POFR,1,3,High,1,2.162,1.4864,4.29,,,,,3.6483999999999996,1.2942887153238662,0,Ambient,0,0,1,CO2Amb_WH
46,47,POFR,1,1,High,3,1.1207,0.6326,2.49,22.7,,,,1.7533,0.5614997264939456,0,Ambient,0,0,1,CO2Amb_WH
48,49,POFR,1,2,High,5,1.3096,0.6964,2.76,,,,,2.0060000000000002,0.6961426895397439,0,Ambient,0,0,1,CO2Amb_WH
52,53,POFR,2,3,High,2,1.4069,0.784,2.93,,,,,2.1909,0.7843124183120368,0,Ambient,0,0,1,CO2Amb_WH
55,56,POFR,2,2,High,4,1.104,1.0622,2.88,,,,,2.1662,0.7729744804194997,0,Ambient,0,0,1,CO2Amb_WH
58,59,POFR,2,1,High,6,1.2966,0.6763,2.74,,,,,1.9729,0.6795045415187868,0,Ambient,0,0,1,CO2Amb_WH
61,62,POFR,3,3,High,2,0.8601,0.4139,2.41,,,,,1.274,0.24216155714997162,1,High,0,0,1,CO2High_WH
63,64,POFR,3,2,High,4,3.134,2.303,3.61,,,,,5.436999999999999,1.6932274381637835,1,High,0,0,1,CO2High_WH
67,68,POFR,3,1,High,6,1.2171,0.918,2.7,,,,,2.1351,0.7585134839911981,1,High,0,0,1,CO2High_WH
70,71,POFR,4,1,High,1,1.8274,1.047,3.37,,,,,2.8743999999999996,1.0558439568171718,1,High,0,0,1,CO2High_WH
73,74,POFR,4,3,High,3,2.1069,1.2548,3.16,,,,,3.3617,1.2124467984053156,1,High,0,0,1,CO2High_WH
76,77,POFR,4,2,High,5,2.7428,1.436,3.89,,,,,4.1788,1.430024123981216,1,High,0,0,1,CO2High_WH
41,42,POFR,1,1,Low,1,1.905,1.1924,2.85,,,,,3.0974,1.130563049899937,0,Ambient,1,0,0,CO2Amb_WL
44,45,POFR,1,2,Low,3,0.5507,0.2592,2.25,,,,,0.8099,-0.2108444957271929,0,Ambient,1,0,0,CO2Amb_WL
47,48,POFR,1,3,Low,5,2.101,1.5873,3.12,,,,,3.6883,1.3051656472884163,0,Ambient,1,0,0,CO2Amb_WL
50,51,POFR,2,3,Low,2,2.3427,1.3247,3.49,,,,,3.6673999999999998,1.299482964132927,0,Ambient,1,0,0,CO2Amb_WL
53,54,POFR,2,1,Low,4,3.0008,0.8955,4.29,,,,,3.8963,1.3600273848691709,0,Ambient,1,0,0,CO2Amb_WL
57,58,POFR,2,2,Low,6,1.3296,0.9116,2.78,37.5,,,,2.2412,0.8070114367089924,0,Ambient,1,0,0,CO2Amb_WL
59,60,POFR,3,2,Low,2,2.371,1.8469,3.37,,,,,4.2179,1.439337373857101,1,High,1,0,0,CO2High_WL
64,65,POFR,3,1,Low,5,0.9617,0.4615,2.13,,,,,1.4232,0.3529078573694884,1,High,1,0,0,CO2High_WL
65,66,POFR,3,3,Low,6,1.33,0.9957,2.72,,,,,2.3257000000000003,0.8440210689940733,1,High,1,0,0,CO2High_WL
68,69,POFR,4,3,Low,1,1.7901,0.7553,3.48,,,,,2.5454,0.9342878085758096,1,High,1,0,0,CO2High_WL
71,72,POFR,4,1,Low,3,1.4821,0.9575,3.08,,,,,2.4396,0.8918340914401642,1,High,1,0,0,CO2High_WL
74,75,POFR,4,2,Low,4,3.0451,1.875,3.65,,,,,4.9201,1.5933288555009146,1,High,1,0,0,CO2High_WL
77,78,SAGO,1,1,Fluct,1,0.6428,0.9209,2.63,,,,,1.5637,0.4470548078673276,0,Ambient,0,1,0,CO2Amb_WA
80,81,SAGO,1,2,Fluct,2,0.5615,0.6821,2.05,,,,,1.2436,0.21801039920246174,0,Ambient,0,1,0,CO2Amb_WA
83,84,SAGO,1,3,Fluct,4,0.604,0.8252,2,,,,,1.4292,0.3571148471671177,0,Ambient,0,1,0,CO2Amb_WA
89,90,SAGO,2,1,Fluct,3,0.4611,0.6644,2.11,,,,,1.1255,0.11822738136464983,0,Ambient,0,1,0,CO2Amb_WA
93,94,SAGO,2,3,Fluct,6,0.2665,0.3325,1.7,,,,,0.599,-0.5124936808666878,0,Ambient,0,1,0,CO2Amb_WA
97,98,SAGO,3,1,Fluct,2,0.868,0.4937,1.68,,,,,1.3617,0.3087339191483925,1,High,0,1,0,CO2High_WA
100,101,SAGO,3,2,Fluct,4,0.858,0.4194,1.66,,,,,1.2774,0.24482676214535182,1,High,0,1,0,CO2High_WA
103,104,SAGO,3,3,Fluct,6,0.2617,0.1766,1.08,,,,,0.4383,-0.8248516715573735,1,High,0,1,0,CO2High_WA
106,107,SAGO,4,3,Fluct,1,1.3829,1.0325,2.7,,,,,2.4154,0.8818649048591378,1,High,0,1,0,CO2High_WA
108,109,SAGO,4,1,Fluct,3,0.7847,0.4225,2.22,,,,,1.2071999999999998,0.18830362847150195,1,High,0,1,0,CO2High_WA
111,112,SAGO,4,2,Fluct,5,0.8071,0.5366,1.89,,,,,1.3437000000000001,0.29542700289922713,1,High,0,1,0,CO2High_WA
78,79,SAGO,1,3,High,1,1.1635,1.837,2.77,,,,,3.0004999999999997,1.0987789414474305,0,Ambient,0,0,1,CO2Amb_WH
81,82,SAGO,1,1,High,3,0.4203,0.463,1.69,,,,,0.8833,-0.12409038523105055,0,Ambient,0,0,1,CO2Amb_WH
84,85,SAGO,1,2,High,5,0.3655,0.4355,1.66,,,,,0.8009999999999999,-0.22189433191377791,0,Ambient,0,0,1,CO2Amb_WH
87,88,SAGO,2,1,High,2,0.86605,0.46275,1.63,,,1.06,0.6521,1.3288,0.28427627931694804,0,Ambient,0,0,1,CO2Amb_WH
90,91,SAGO,2,2,High,4,1.454,1.3018,2.53,,,,,2.7558,1.0137077815776656,0,Ambient,0,0,1,CO2Amb_WH
94,95,SAGO,2,3,High,6,0.563,0.6367,1.82,,,,,1.1997,0.1820715255387453,0,Ambient,0,0,1,CO2Amb_WH
95,96,SAGO,4,1,High,1,0.9855,1.1488,2.74,,,,,2.1343,0.7581387240673854,1,High,0,0,1,CO2High_WH
98,99,SAGO,3,3,High,2,2.0047,1.1045,2.69,,,,,3.1092000000000004,1.1343654583739278,1,High,0,0,1,CO2High_WH
101,102,SAGO,3,1,High,4,1.2551,1.174,2.54,,,,,2.4291,0.8875208183780413,1,High,0,0,1,CO2High_WH
104,105,SAGO,3,2,High,6,0.6988,0.385,1.28,,,,,1.0838,0.08047338414987687,1,High,0,0,1,CO2High_WH
109,110,SAGO,4,2,High,3,1.7865,1.5414,2.33,,,,,3.3279,1.2023414744305867,1,High,0,0,1,CO2High_WH
112,113,SAGO,4,3,High,5,2.4675,1.791,3.38,,,,,4.2585,1.4489169855989985,1,High,0,0,1,CO2High_WH
79,80,SAGO,1,1,Low,2,0.5155,0.8558,2.16,,,,,1.3713,0.3157591950236713,0,Ambient,1,0,0,CO2Amb_WL
